               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078818,            0.023483,            0.032934,             0.32118,             0.27843,             0.21428,            0.076111,            0.063137,            0.012814,            0.019105,            0.070036,           0.0033294,           0.0033294
                   1,            0.063145,            0.020625,            0.018884,             0.38394,             0.34585,             0.28919,              0.1147,            0.058296,            0.012727,            0.015234,            0.039904,           0.0065308,           0.0065308
                   2,            0.062447,            0.020456,            0.018465,             0.36959,               0.294,             0.25566,             0.09173,            0.061207,            0.013328,            0.017291,           0.0096399,           0.0096002,           0.0096002
                   3,            0.061602,              0.0206,            0.017803,             0.39335,             0.29702,              0.2716,             0.10606,            0.061458,            0.012919,            0.016566,            0.009406,            0.009406,            0.009406
                   4,            0.059024,            0.020288,            0.016366,              0.4095,             0.35976,             0.32678,             0.13932,            0.056534,            0.012794,            0.014816,            0.009406,            0.009406,            0.009406
                   5,            0.057653,            0.019749,            0.015292,             0.45478,             0.39033,              0.3742,             0.15714,            0.054612,            0.012341,            0.013526,            0.009208,            0.009208,            0.009208
                   6,            0.056688,            0.019601,            0.014889,             0.50579,             0.42565,             0.42748,             0.18675,            0.052989,            0.011888,            0.011513,             0.00901,             0.00901,             0.00901
                   7,             0.05588,            0.019741,            0.014114,             0.50864,             0.44791,             0.43681,             0.19061,            0.051925,            0.011805,            0.011189,            0.008812,            0.008812,            0.008812
                   8,            0.055047,            0.019614,            0.013651,             0.52313,             0.46028,             0.45747,             0.20347,             0.05164,            0.011731,             0.01062,            0.008614,            0.008614,            0.008614
                   9,            0.054707,            0.019381,            0.013345,             0.53667,             0.46971,             0.46908,             0.20811,            0.050985,             0.01163,            0.010737,            0.008416,            0.008416,            0.008416
                  10,             0.05406,            0.019273,            0.012965,             0.53544,             0.47667,             0.47235,              0.2168,            0.050536,            0.011523,            0.010519,            0.008218,            0.008218,            0.008218
                  11,            0.053711,            0.019061,            0.012463,             0.52119,             0.48145,             0.47225,             0.21433,            0.049772,            0.011588,            0.010248,             0.00802,             0.00802,             0.00802
                  12,            0.053267,            0.018909,            0.012352,             0.56313,             0.48817,             0.50065,             0.23144,            0.049544,            0.011304,            0.009907,            0.007822,            0.007822,            0.007822
                  13,            0.053102,            0.019046,            0.012234,             0.55239,             0.51011,             0.51012,             0.23677,            0.049155,            0.011303,           0.0094556,            0.007624,            0.007624,            0.007624
                  14,            0.052616,            0.018685,             0.01196,             0.57884,             0.50451,             0.51965,             0.24276,            0.048843,            0.011242,           0.0096342,            0.007426,            0.007426,            0.007426
                  15,            0.052434,            0.018847,            0.011901,             0.57267,             0.51716,               0.528,             0.24554,            0.048183,            0.011259,           0.0092502,            0.007228,            0.007228,            0.007228
                  16,            0.052127,            0.018718,            0.011376,             0.57591,             0.52427,             0.53062,             0.24959,            0.048013,            0.011169,           0.0091251,             0.00703,             0.00703,             0.00703
                  17,             0.05173,            0.018531,            0.011278,             0.58417,             0.52755,             0.54308,             0.25722,            0.047745,            0.011066,           0.0090872,            0.006832,            0.006832,            0.006832
                  18,            0.051294,            0.018565,            0.011029,             0.59239,             0.53278,             0.54876,             0.26406,            0.047308,            0.011036,            0.009016,            0.006634,            0.006634,            0.006634
                  19,            0.051166,            0.018436,            0.010782,             0.58803,              0.5325,             0.55013,             0.26409,            0.047204,            0.010982,           0.0088853,            0.006436,            0.006436,            0.006436
                  20,            0.050903,            0.018572,            0.010537,              0.5852,             0.54452,             0.55716,             0.26827,            0.047046,            0.010968,           0.0087969,            0.006238,            0.006238,            0.006238
                  21,            0.050607,            0.018507,            0.010591,             0.59809,             0.53824,             0.56118,             0.27349,            0.046959,            0.010952,           0.0088182,             0.00604,             0.00604,             0.00604
                  22,            0.050253,            0.018612,            0.010255,             0.60422,             0.55164,             0.56877,              0.2758,            0.046664,            0.010906,           0.0085347,            0.005842,            0.005842,            0.005842
                  23,            0.049966,            0.018335,            0.010083,              0.6117,             0.54138,             0.57053,             0.27609,            0.046596,            0.010884,           0.0086345,            0.005644,            0.005644,            0.005644
                  24,            0.050106,            0.018222,            0.010048,             0.60805,              0.5526,             0.57513,             0.27687,            0.046347,            0.010878,           0.0085191,            0.005446,            0.005446,            0.005446
                  25,            0.049744,             0.01823,            0.009787,             0.60492,             0.55519,             0.57472,             0.27931,            0.046285,            0.010852,           0.0085252,            0.005248,            0.005248,            0.005248
                  26,            0.049382,            0.018089,           0.0098435,             0.61171,             0.55564,             0.57719,             0.28188,             0.04612,            0.010817,           0.0084141,             0.00505,             0.00505,             0.00505
                  27,            0.049227,            0.018097,           0.0095743,             0.62228,             0.55748,             0.58244,             0.28453,            0.046077,            0.010804,           0.0082753,            0.004852,            0.004852,            0.004852
                  28,            0.048805,            0.018019,           0.0093375,             0.61441,             0.56345,             0.58311,             0.28575,            0.045984,            0.010779,           0.0082123,            0.004654,            0.004654,            0.004654
                  29,            0.048586,            0.017953,            0.009198,             0.61649,             0.56469,             0.58612,             0.28673,            0.045907,            0.010753,           0.0082673,            0.004456,            0.004456,            0.004456
                  30,             0.04841,            0.017836,           0.0089327,             0.61386,             0.56735,             0.58619,             0.28855,            0.045802,            0.010744,           0.0083541,            0.004258,            0.004258,            0.004258
                  31,            0.048378,            0.017875,           0.0089758,             0.61285,             0.56993,             0.58777,             0.28975,            0.045711,            0.010729,           0.0083632,             0.00406,             0.00406,             0.00406
                  32,            0.048062,            0.017536,           0.0087675,             0.62086,             0.56668,             0.58879,             0.29138,            0.045606,            0.010724,           0.0083846,            0.003862,            0.003862,            0.003862
                  33,            0.047539,            0.017741,           0.0084972,             0.61979,             0.57033,             0.58937,             0.29222,            0.045548,            0.010716,           0.0083583,            0.003664,            0.003664,            0.003664
                  34,            0.047581,            0.017736,           0.0082776,             0.62179,             0.57164,             0.59051,              0.2926,            0.045531,            0.010715,             0.00834,            0.003466,            0.003466,            0.003466
                  35,            0.047449,             0.01755,           0.0081265,             0.62058,             0.56995,             0.59136,             0.29349,            0.045461,            0.010705,           0.0083499,            0.003268,            0.003268,            0.003268
                  36,            0.046997,            0.017613,           0.0078374,             0.62277,              0.5671,             0.59125,             0.29397,            0.045397,            0.010697,           0.0083488,             0.00307,             0.00307,             0.00307
                  37,            0.046588,            0.017434,           0.0077421,             0.62445,             0.57068,             0.59357,             0.29547,            0.045353,            0.010687,           0.0083752,            0.002872,            0.002872,            0.002872
                  38,            0.046249,            0.017352,           0.0076328,             0.62726,             0.56965,             0.59437,             0.29581,            0.045301,            0.010681,           0.0084047,            0.002674,            0.002674,            0.002674
                  39,             0.04607,            0.017297,           0.0074711,              0.6279,             0.57251,             0.59545,             0.29639,             0.04527,            0.010678,           0.0084076,            0.002476,            0.002476,            0.002476
                  40,            0.045948,            0.017244,           0.0072423,              0.6287,             0.57374,             0.59684,             0.29744,            0.045247,            0.010673,           0.0084079,            0.002278,            0.002278,            0.002278
                  41,            0.045482,            0.016948,           0.0069907,             0.62818,             0.57776,             0.59707,             0.29815,             0.04523,            0.010667,           0.0084105,             0.00208,             0.00208,             0.00208
                  42,            0.045161,            0.017069,           0.0067826,             0.62528,             0.57986,             0.59731,             0.29861,            0.045211,            0.010664,           0.0084109,            0.001882,            0.001882,            0.001882
                  43,            0.044755,            0.016842,           0.0066541,             0.62441,             0.57904,             0.59757,             0.29904,            0.045183,            0.010659,           0.0084268,            0.001684,            0.001684,            0.001684
                  44,            0.044591,            0.016746,           0.0065994,             0.62696,             0.57937,             0.59871,             0.29967,            0.045169,            0.010656,           0.0084388,            0.001486,            0.001486,            0.001486
                  45,            0.044261,            0.016788,           0.0062141,             0.62566,             0.58058,             0.59925,             0.29966,             0.04515,            0.010651,           0.0084538,            0.001288,            0.001288,            0.001288
                  46,            0.043855,            0.016762,           0.0060837,             0.62571,             0.58176,             0.59989,             0.30006,            0.045132,            0.010648,           0.0084668,             0.00109,             0.00109,             0.00109
                  47,             0.04342,            0.016544,           0.0060256,             0.62533,             0.58346,             0.60089,             0.30003,            0.045124,            0.010644,           0.0084829,            0.000892,            0.000892,            0.000892
                  48,            0.043214,            0.016321,           0.0058815,             0.62448,             0.58431,             0.60076,             0.30031,            0.045121,            0.010639,            0.008498,            0.000694,            0.000694,            0.000694
                  49,            0.042959,            0.016404,           0.0056724,             0.62573,             0.58415,             0.60081,             0.30027,            0.045119,            0.010636,           0.0085145,            0.000496,            0.000496,            0.000496
